Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
921,0.0116201,,,921,0.102669,
922,0.01318,,,922,0.116557,
923,0.0136923,,,923,0.119642,
924,0.0111297,,,924,0.10793,
925,0.0106036,,,925,0.116953,
926,0.0116519,,,926,0.135239,
927,0.00780179,,,927,0.133008,
928,0.0106404,,,928,0.117856,
929,0.0107932,,,929,0.12122,
930,0.0110125,,,930,0.123817,
931,0.00845602,,,931,0.126764,
932,0.014188,,,932,0.129521,
933,0.0119896,,,933,0.132461,
934,0.0117581,,,934,0.134985,
935,0.0148044,,,935,0.137284,
936,0.0162947,,,936,0.140906,
937,0.00842583,,,937,0.121452,
938,0.00836417,,,938,0.136716,
939,0.00942052,,,939,0.12809,
940,0.0118192,,,940,0.117361,
941,0.0113057,,,941,0.134468,
942,0.00938511,,,942,0.149439,
943,0.0119427,,,943,0.13563,
944,0.00978062,,,944,0.123036,
945,0.00941885,,,945,0.124184,
946,0.0127122,,,946,0.136598,
947,0.00987021,,,947,0.158452,
948,0.0118902,,,948,0.135076,
949,0.0129753,,,949,0.111587,
950,0.0103922,,,950,0.135477,
951,0.0106946,,,951,0.135047,
952,0.0119094,,,952,0.136902,
953,0.0152056,,,953,0.138832,
954,0.0140575,,,954,0.140865,
955,0.011184,,,955,0.144074,
956,0.0115469,,,956,0.137267,
957,0.0131755,,,957,0.125349,
958,0.0141842,,,958,0.145379,
959,0.00868424,,,959,0.120775,
960,0.0129525,,,960,0.125285,
961,0.0109517,,,961,0.127676,
962,0.0102255,,,962,0.129979,
963,0.0121049,,,963,0.130791,
964,0.00697957,,,964,0.149594,
965,0.00431893,,,965,0.157528,
966,0.00439353,,,966,0.158437,
967,0.00690392,,,967,0.163801,
968,0.0129301,,,968,0.144798,
969,0.0121064,,,969,0.150563,
970,0.0136697,,,970,0.154103,
971,0.0126341,,,971,0.158263,
972,0.00662522,,,972,0.162732,
973,0.00480729,,,973,0.167999,
974,0.0164894,,,974,0.17341,
975,0.00666029,,,975,0.181802,
976,0.0120078,,,976,0.142893,
977,0.0130237,,,977,0.146411,
978,0.0135334,,,978,0.161119,
979,0.013397,,,979,0.155959,
980,0.0133022,,,980,0.147465,
981,0.0133165,,,981,0.13959,
982,0.0136099,,,982,0.132755,
983,0.0132677,,,983,0.11905,
984,0.0118086,,,984,0.112707,
985,0.0112964,,,985,0.111575,
986,0.00782133,,,986,0.104081,
987,0.0109943,,,987,0.0971204,
988,0.00417695,,,988,0.0669226,
989,0.00537415,,,989,0.0578681,
990,0.00305945,,,990,0.0650463,
991,0.000737812,,,991,0.0236145,
992,1.10E-05,,,992,0.0164398,
993,0.00109614,,,993,0.0167851,
994,1.00E-14,,,994,0.0220605,
995,0.000967051,,,995,0.00467748,
996,0.00104625,,,996,0.00507506,
997,0.00106719,,,997,0.00538035,
998,0.00113549,,,998,0.00533811,
999,0.00134875,,,999,0.0046584,
1000,0.00169033,,,1000,0.00327202,
1001,0.00205872,,,1001,0.00165859,
1002,0.00235039,,,1002,0.000333692,
1003,0.00249839,,,1003,1.00E-14,
1004,0.0025756,,,1004,1.00E-14,
1005,0.00255436,,,1005,1.00E-14,
1006,0.00239243,,,1006,1.00E-14,
1007,0.00200736,,,1007,0.00148788,
1008,0.00136255,,,1008,0.00477868,
1009,0.000657982,,,1009,0.00830424,
1010,0.000104841,,,1010,0.0108022,
1011,1.00E-14,,,1011,0.0112383,
1012,1.00E-14,,,1012,0.0100774,
1013,1.00E-14,,,1013,0.00828008,
1014,1.00E-14,,,1014,0.00679797,
1015,0,,,1015,0.0062509,
1016,0,,,1016,0.006112,
1017,0,,,1017,0.00621554,
1018,0,,,1018,0.00644063,
1019,0,,,1019,0.00679358,
1020,0,,,1020,0.00737406,
1021,0,,,1021,0.00799237,
1022,0,,,1022,0.0084503,
1023,0,,,1023,0.00861589,
1024,0,,,1024,0.00859032,
1025,0,,,1025,0.008479,
1026,0,,,1026,0.00838518,
1027,0,,,1027,0.00836077,
1028,0,,,1028,0.00834493,
1029,0,,,1029,0.0083307,
1030,0,,,1030,0.00831363,
1031,1.00E-14,,,1031,0.0082518,
1032,1.00E-14,,,1032,0.00814688,
1033,1.00E-14,,,1033,0.00809476,
